system:time_start,VH
"Apr 2, 2020",-17.528
"Apr 3, 2020",-17.127
"Apr 8, 2020",-14.581
"Apr 9, 2020",-17.213
"Apr 14, 2020",-18.477
"Apr 15, 2020",-13.553
"Apr 20, 2020",-17.865
"Apr 21, 2020",-14.969
"Apr 26, 2020",-16.608
"Apr 27, 2020",-16.308
"May 2, 2020",-16.192
"May 3, 2020",-13.222
"May 8, 2020",-15.053
"May 9, 2020",-14.684
"May 14, 2020",-15.398
"May 15, 2020",-15.202
"May 20, 2020",-15.064
"May 21, 2020",-13.865
"May 26, 2020",-14.384
"May 27, 2020",-15.349
"Jun 1, 2020",-14.6
"Jun 2, 2020",-14.487
"Jun 7, 2020",-14.382
"Jun 8, 2020",-14.917
"Jun 13, 2020",-16.009
"Jun 14, 2020",-13.314
"Jun 19, 2020",-17.313
"Jun 20, 2020",-14.166
"Jun 25, 2020",-15.937
"Jun 26, 2020",-13.924
"Jul 1, 2020",-15.985
"Jul 2, 2020",-12.769
"Jul 7, 2020",-14.37
"Jul 8, 2020",-17.273
"Jul 13, 2020",-14.278
"Jul 14, 2020",-15.361
"Jul 20, 2020",-15.282
"Jul 25, 2020",-17.009
"Jul 26, 2020",-15.368
"Jul 31, 2020",-16.274
"Aug 1, 2020",-14.609
"Aug 6, 2020",-15.936
"Aug 7, 2020",-13.697
"Aug 12, 2020",-14.426
"Aug 13, 2020",-15.851
"Aug 18, 2020",-14.77
"Aug 24, 2020",-14.972
"Aug 25, 2020",-13.849
"Aug 30, 2020",-16.56
"Aug 31, 2020",-13.998
"Sep 5, 2020",-15.385
"Sep 6, 2020",-14.338
"Sep 11, 2020",-16.21
"Sep 12, 2020",-14.613
"Sep 17, 2020",-15.816
"Sep 18, 2020",-15.018
"Sep 23, 2020",-14.317
"Sep 24, 2020",-16.558
"Sep 29, 2020",-16.525
"Sep 30, 2020",-14.71
"Oct 5, 2020",-16.787
"Oct 6, 2020",-11.243
"Oct 11, 2020",-15.237
"Oct 12, 2020",-13.385
"Oct 17, 2020",-15.852
"Oct 18, 2020",-16.154
"Oct 23, 2020",-16.81
"Oct 24, 2020",-16.623
"Oct 29, 2020",-16.747
"Oct 30, 2020",-18.083
"Nov 4, 2020",-16.401
"Nov 5, 2020",-15.732
"Nov 10, 2020",-17.86
"Nov 11, 2020",-16.721
